actor_start_name,actor_start_url,actor_end_name,actor_end_url,distance
Chris Hemsworth,https://www.imdb.com/name/nm1165110/fullcredits,Chris Evans,https://www.imdb.com/name/nm0262635/fullcredits,2.0
Chris Hemsworth,https://www.imdb.com/name/nm1165110/fullcredits,Dwayne Johnson,https://www.imdb.com/name/nm0425005/fullcredits,3.0
Chris Hemsworth,https://www.imdb.com/name/nm1165110/fullcredits,Jackie Chan,https://www.imdb.com/name/nm0000329/fullcredits,2.0
Chris Hemsworth,https://www.imdb.com/name/nm1165110/fullcredits,Robert Downey Jr.,https://www.imdb.com/name/nm0000375/fullcredits,2.0
Chris Hemsworth,https://www.imdb.com/name/nm1165110/fullcredits,Scarlett Johansson,https://www.imdb.com/name/nm0424060/fullcredits,2.0
Chris Hemsworth,https://www.imdb.com/name/nm1165110/fullcredits,Sofia Vergara,https://www.imdb.com/name/nm0005527/fullcredits,-1.0
Dwayne Johnson,https://www.imdb.com/name/nm0425005/fullcredits,Adam Sandler,https://www.imdb.com/name/nm0001191/fullcredits,3.0
Dwayne Johnson,https://www.imdb.com/name/nm0425005/fullcredits,Akshay Kumar,https://www.imdb.com/name/nm0474774/fullcredits,-1.0
Dwayne Johnson,https://www.imdb.com/name/nm0425005/fullcredits,Bradley Cooper,https://www.imdb.com/name/nm0177896/fullcredits,2.0
Dwayne Johnson,https://www.imdb.com/name/nm0425005/fullcredits,Chris Evans,https://www.imdb.com/name/nm0262635/fullcredits,2.0
Dwayne Johnson,https://www.imdb.com/name/nm0425005/fullcredits,Chris Hemsworth,https://www.imdb.com/name/nm1165110/fullcredits,2.0
Dwayne Johnson,https://www.imdb.com/name/nm0425005/fullcredits,Jackie Chan,https://www.imdb.com/name/nm0000329/fullcredits,3.0
Dwayne Johnson,https://www.imdb.com/name/nm0425005/fullcredits,Robert Downey Jr.,https://www.imdb.com/name/nm0000375/fullcredits,2.0
Dwayne Johnson,https://www.imdb.com/name/nm0425005/fullcredits,Scarlett Johansson,https://www.imdb.com/name/nm0424060/fullcredits,3.0
Dwayne Johnson,https://www.imdb.com/name/nm0425005/fullcredits,Sofia Vergara,https://www.imdb.com/name/nm0005527/fullcredits,3.0
Jackie Chan,https://www.imdb.com/name/nm0000329/fullcredits,Adam Sandler,https://www.imdb.com/name/nm0001191/fullcredits,3.0
Jackie Chan,https://www.imdb.com/name/nm0000329/fullcredits,Akshay Kumar,https://www.imdb.com/name/nm0474774/fullcredits,-1.0
Jackie Chan,https://www.imdb.com/name/nm0000329/fullcredits,Bradley Cooper,https://www.imdb.com/name/nm0177896/fullcredits,3.0
Jackie Chan,https://www.imdb.com/name/nm0000329/fullcredits,Chris Evans,https://www.imdb.com/name/nm0262635/fullcredits,3.0
Jackie Chan,https://www.imdb.com/name/nm0000329/fullcredits,Chris Hemsworth,https://www.imdb.com/name/nm1165110/fullcredits,3.0
Jackie Chan,https://www.imdb.com/name/nm0000329/fullcredits,Dwayne Johnson,https://www.imdb.com/name/nm0425005/fullcredits,3.0
Jackie Chan,https://www.imdb.com/name/nm0000329/fullcredits,Robert Downey Jr.,https://www.imdb.com/name/nm0000375/fullcredits,3.0
Jackie Chan,https://www.imdb.com/name/nm0000329/fullcredits,Scarlett Johansson,https://www.imdb.com/name/nm0424060/fullcredits,-1.0
Jackie Chan,https://www.imdb.com/name/nm0000329/fullcredits,Sofia Vergara,https://www.imdb.com/name/nm0005527/fullcredits,3.0
Robert Downey Jr.,https://www.imdb.com/name/nm0000375/fullcredits,Adam Sandler,https://www.imdb.com/name/nm0001191/fullcredits,3.0
Robert Downey Jr.,https://www.imdb.com/name/nm0000375/fullcredits,Akshay Kumar,https://www.imdb.com/name/nm0474774/fullcredits,-1.0
Robert Downey Jr.,https://www.imdb.com/name/nm0000375/fullcredits,Bradley Cooper,https://www.imdb.com/name/nm0177896/fullcredits,3.0
Robert Downey Jr.,https://www.imdb.com/name/nm0000375/fullcredits,Chris Evans,https://www.imdb.com/name/nm0262635/fullcredits,1.0
